feature,monthly_volume,provider,model,n,errors,agreement,scored_n,parse_fail,avg_in_tok,avg_out_tok,cost_per_1k_raw,proj_monthly_usd
classifier,1423,anthropic,claude-haiku-4-5,50,0,0.9,50,0,1796.6,61.3,2.1031,0.9
classifier,1423,openai,gpt-5.4-nano,50,0,0.88,50,0,1616.9,40.5,0.374,0.11
classifier,1423,gemini,gemini-3.1-flash-lite,49,1,0.898,49,0,1716.0,48.4,0.5016,0.19
followup,489,anthropic,claude-haiku-4-5,50,0,0.695,50,0,736.9,60.1,1.0374,0.22
followup,489,openai,gpt-5.4-nano,50,0,0.575,50,0,650.6,38.0,0.1776,0.03
followup,489,gemini,gemini-3.1-flash-lite,50,0,0.675,50,0,684.5,40.1,0.2313,0.04
prospeo,20000,anthropic,claude-haiku-4-5,50,0,0.84,50,0,941.6,32.8,1.1055,22.11
prospeo,20000,openai,gpt-5.4-nano,50,0,0.64,50,0,849.1,28.3,0.2052,4.1
prospeo,20000,gemini,gemini-3.1-flash-lite,50,0,0.74,50,0,883.3,25.5,0.2591,5.18
company,20000,anthropic,claude-haiku-4-5,50,0,0.88,50,0,430.1,42.4,0.6421,6.43
company,20000,openai,gpt-5.4-nano,50,0,0.92,50,0,378.3,27.9,0.1106,0.93
company,20000,gemini,gemini-3.1-flash-lite,50,0,0.9,50,0,401.9,28.4,0.143,1.26
brand_verify,20000,anthropic,claude-haiku-4-5,50,0,,0,0,2340.9,139.9,3.0402,121.61
brand_verify,20000,openai,gpt-5.4-nano,50,0,,0,0,2131.3,110.2,0.5641,22.56
brand_verify,20000,gemini,gemini-3.1-flash-lite,50,0,,0,0,2276.4,124.5,0.7559,30.24
